sentence,condition
아이가 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 아이를 도우셨다,HON.SUBJ+HON.V
선생님이 아이를 도왔다,HON.SUBJ+PLAIN.V
아이가 선생님을 도우셨다,PLAIN.SUBJ+HON.V
아이가 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
선생님이 친구를 찾으셨다,HON.SUBJ+HON.V
선생님이 친구를 찾았다,HON.SUBJ+PLAIN.V
친구가 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
친구가 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 친구를 부르셨다,HON.SUBJ+HON.V
선생님이 친구를 불렀다,HON.SUBJ+PLAIN.V
친구가 선생님을 부르셨다,PLAIN.SUBJ+HON.V
친구가 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 친구를 기다리셨다,HON.SUBJ+HON.V
선생님이 친구를 기다렸다,HON.SUBJ+PLAIN.V
친구가 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
친구가 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 친구를 만나셨다,HON.SUBJ+HON.V
선생님이 친구를 만났다,HON.SUBJ+PLAIN.V
친구가 선생님을 만나셨다,PLAIN.SUBJ+HON.V
친구가 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 친구를 칭찬하셨다,HON.SUBJ+HON.V
선생님이 친구를 칭찬했다,HON.SUBJ+PLAIN.V
친구가 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
친구가 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 친구를 도우셨다,HON.SUBJ+HON.V
선생님이 친구를 도왔다,HON.SUBJ+PLAIN.V
친구가 선생님을 도우셨다,PLAIN.SUBJ+HON.V
친구가 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
선생님이 동생을 찾으셨다,HON.SUBJ+HON.V
선생님이 동생을 찾았다,HON.SUBJ+PLAIN.V
동생이 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
동생이 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 동생을 부르셨다,HON.SUBJ+HON.V
선생님이 동생을 불렀다,HON.SUBJ+PLAIN.V
동생이 선생님을 부르셨다,PLAIN.SUBJ+HON.V
동생이 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 동생을 기다리셨다,HON.SUBJ+HON.V
선생님이 동생을 기다렸다,HON.SUBJ+PLAIN.V
동생이 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
동생이 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 동생을 만나셨다,HON.SUBJ+HON.V
선생님이 동생을 만났다,HON.SUBJ+PLAIN.V
동생이 선생님을 만나셨다,PLAIN.SUBJ+HON.V
동생이 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 동생을 칭찬하셨다,HON.SUBJ+HON.V
선생님이 동생을 칭찬했다,HON.SUBJ+PLAIN.V
동생이 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
동생이 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 동생을 도우셨다,HON.SUBJ+HON.V
선생님이 동생을 도왔다,HON.SUBJ+PLAIN.V
동생이 선생님을 도우셨다,PLAIN.SUBJ+HON.V
동생이 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
선생님이 남동생을 찾으셨다,HON.SUBJ+HON.V
선생님이 남동생을 찾았다,HON.SUBJ+PLAIN.V
남동생이 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
남동생이 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 남동생을 부르셨다,HON.SUBJ+HON.V
선생님이 남동생을 불렀다,HON.SUBJ+PLAIN.V
남동생이 선생님을 부르셨다,PLAIN.SUBJ+HON.V
남동생이 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 남동생을 기다리셨다,HON.SUBJ+HON.V
선생님이 남동생을 기다렸다,HON.SUBJ+PLAIN.V
남동생이 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
남동생이 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 남동생을 만나셨다,HON.SUBJ+HON.V
선생님이 남동생을 만났다,HON.SUBJ+PLAIN.V
남동생이 선생님을 만나셨다,PLAIN.SUBJ+HON.V
남동생이 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 남동생을 칭찬하셨다,HON.SUBJ+HON.V
선생님이 남동생을 칭찬했다,HON.SUBJ+PLAIN.V
남동생이 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
남동생이 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 남동생을 도우셨다,HON.SUBJ+HON.V
선생님이 남동생을 도왔다,HON.SUBJ+PLAIN.V
남동생이 선생님을 도우셨다,PLAIN.SUBJ+HON.V
남동생이 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
선생님이 여동생을 찾으셨다,HON.SUBJ+HON.V
선생님이 여동생을 찾았다,HON.SUBJ+PLAIN.V
여동생이 선생님을 찾으셨다,PLAIN.SUBJ+HON.V
여동생이 선생님을 찾았다,PLAIN.SUBJ+PLAIN.V
선생님이 여동생을 부르셨다,HON.SUBJ+HON.V
선생님이 여동생을 불렀다,HON.SUBJ+PLAIN.V
여동생이 선생님을 부르셨다,PLAIN.SUBJ+HON.V
여동생이 선생님을 불렀다,PLAIN.SUBJ+PLAIN.V
선생님이 여동생을 기다리셨다,HON.SUBJ+HON.V
선생님이 여동생을 기다렸다,HON.SUBJ+PLAIN.V
여동생이 선생님을 기다리셨다,PLAIN.SUBJ+HON.V
여동생이 선생님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선생님이 여동생을 만나셨다,HON.SUBJ+HON.V
선생님이 여동생을 만났다,HON.SUBJ+PLAIN.V
여동생이 선생님을 만나셨다,PLAIN.SUBJ+HON.V
여동생이 선생님을 만났다,PLAIN.SUBJ+PLAIN.V
선생님이 여동생을 칭찬하셨다,HON.SUBJ+HON.V
선생님이 여동생을 칭찬했다,HON.SUBJ+PLAIN.V
여동생이 선생님을 칭찬하셨다,PLAIN.SUBJ+HON.V
여동생이 선생님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선생님이 여동생을 도우셨다,HON.SUBJ+HON.V
선생님이 여동생을 도왔다,HON.SUBJ+PLAIN.V
여동생이 선생님을 도우셨다,PLAIN.SUBJ+HON.V
여동생이 선생님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 학생을 찾으셨다,HON.SUBJ+HON.V
교수님이 학생을 찾았다,HON.SUBJ+PLAIN.V
학생이 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
학생이 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 학생을 부르셨다,HON.SUBJ+HON.V
교수님이 학생을 불렀다,HON.SUBJ+PLAIN.V
학생이 교수님을 부르셨다,PLAIN.SUBJ+HON.V
학생이 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 학생을 기다리셨다,HON.SUBJ+HON.V
교수님이 학생을 기다렸다,HON.SUBJ+PLAIN.V
학생이 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
학생이 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 학생을 만나셨다,HON.SUBJ+HON.V
교수님이 학생을 만났다,HON.SUBJ+PLAIN.V
학생이 교수님을 만나셨다,PLAIN.SUBJ+HON.V
학생이 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 학생을 칭찬하셨다,HON.SUBJ+HON.V
교수님이 학생을 칭찬했다,HON.SUBJ+PLAIN.V
학생이 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
학생이 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 학생을 도우셨다,HON.SUBJ+HON.V
교수님이 학생을 도왔다,HON.SUBJ+PLAIN.V
학생이 교수님을 도우셨다,PLAIN.SUBJ+HON.V
학생이 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 제자를 찾으셨다,HON.SUBJ+HON.V
교수님이 제자를 찾았다,HON.SUBJ+PLAIN.V
제자가 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
제자가 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 제자를 부르셨다,HON.SUBJ+HON.V
교수님이 제자를 불렀다,HON.SUBJ+PLAIN.V
제자가 교수님을 부르셨다,PLAIN.SUBJ+HON.V
제자가 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 제자를 기다리셨다,HON.SUBJ+HON.V
교수님이 제자를 기다렸다,HON.SUBJ+PLAIN.V
제자가 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
제자가 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 제자를 만나셨다,HON.SUBJ+HON.V
교수님이 제자를 만났다,HON.SUBJ+PLAIN.V
제자가 교수님을 만나셨다,PLAIN.SUBJ+HON.V
제자가 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 제자를 칭찬하셨다,HON.SUBJ+HON.V
교수님이 제자를 칭찬했다,HON.SUBJ+PLAIN.V
제자가 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
제자가 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 제자를 도우셨다,HON.SUBJ+HON.V
교수님이 제자를 도왔다,HON.SUBJ+PLAIN.V
제자가 교수님을 도우셨다,PLAIN.SUBJ+HON.V
제자가 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 후배를 찾으셨다,HON.SUBJ+HON.V
교수님이 후배를 찾았다,HON.SUBJ+PLAIN.V
후배가 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
후배가 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 후배를 부르셨다,HON.SUBJ+HON.V
교수님이 후배를 불렀다,HON.SUBJ+PLAIN.V
후배가 교수님을 부르셨다,PLAIN.SUBJ+HON.V
후배가 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 후배를 기다리셨다,HON.SUBJ+HON.V
교수님이 후배를 기다렸다,HON.SUBJ+PLAIN.V
후배가 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
후배가 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 후배를 만나셨다,HON.SUBJ+HON.V
교수님이 후배를 만났다,HON.SUBJ+PLAIN.V
후배가 교수님을 만나셨다,PLAIN.SUBJ+HON.V
후배가 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 후배를 칭찬하셨다,HON.SUBJ+HON.V
교수님이 후배를 칭찬했다,HON.SUBJ+PLAIN.V
후배가 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
후배가 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 후배를 도우셨다,HON.SUBJ+HON.V
교수님이 후배를 도왔다,HON.SUBJ+PLAIN.V
후배가 교수님을 도우셨다,PLAIN.SUBJ+HON.V
후배가 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 아이를 찾으셨다,HON.SUBJ+HON.V
교수님이 아이를 찾았다,HON.SUBJ+PLAIN.V
아이가 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
아이가 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 아이를 부르셨다,HON.SUBJ+HON.V
교수님이 아이를 불렀다,HON.SUBJ+PLAIN.V
아이가 교수님을 부르셨다,PLAIN.SUBJ+HON.V
아이가 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 아이를 기다리셨다,HON.SUBJ+HON.V
교수님이 아이를 기다렸다,HON.SUBJ+PLAIN.V
아이가 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
아이가 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 아이를 만나셨다,HON.SUBJ+HON.V
교수님이 아이를 만났다,HON.SUBJ+PLAIN.V
아이가 교수님을 만나셨다,PLAIN.SUBJ+HON.V
아이가 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 아이를 칭찬하셨다,HON.SUBJ+HON.V
교수님이 아이를 칭찬했다,HON.SUBJ+PLAIN.V
아이가 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
아이가 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 아이를 도우셨다,HON.SUBJ+HON.V
교수님이 아이를 도왔다,HON.SUBJ+PLAIN.V
아이가 교수님을 도우셨다,PLAIN.SUBJ+HON.V
아이가 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 친구를 찾으셨다,HON.SUBJ+HON.V
교수님이 친구를 찾았다,HON.SUBJ+PLAIN.V
친구가 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
친구가 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 친구를 부르셨다,HON.SUBJ+HON.V
교수님이 친구를 불렀다,HON.SUBJ+PLAIN.V
친구가 교수님을 부르셨다,PLAIN.SUBJ+HON.V
친구가 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 친구를 기다리셨다,HON.SUBJ+HON.V
교수님이 친구를 기다렸다,HON.SUBJ+PLAIN.V
친구가 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
친구가 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 친구를 만나셨다,HON.SUBJ+HON.V
교수님이 친구를 만났다,HON.SUBJ+PLAIN.V
친구가 교수님을 만나셨다,PLAIN.SUBJ+HON.V
친구가 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 친구를 칭찬하셨다,HON.SUBJ+HON.V
교수님이 친구를 칭찬했다,HON.SUBJ+PLAIN.V
친구가 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
친구가 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 친구를 도우셨다,HON.SUBJ+HON.V
교수님이 친구를 도왔다,HON.SUBJ+PLAIN.V
친구가 교수님을 도우셨다,PLAIN.SUBJ+HON.V
친구가 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 동생을 찾으셨다,HON.SUBJ+HON.V
교수님이 동생을 찾았다,HON.SUBJ+PLAIN.V
동생이 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
동생이 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 동생을 부르셨다,HON.SUBJ+HON.V
교수님이 동생을 불렀다,HON.SUBJ+PLAIN.V
동생이 교수님을 부르셨다,PLAIN.SUBJ+HON.V
동생이 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 동생을 기다리셨다,HON.SUBJ+HON.V
교수님이 동생을 기다렸다,HON.SUBJ+PLAIN.V
동생이 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
동생이 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 동생을 만나셨다,HON.SUBJ+HON.V
교수님이 동생을 만났다,HON.SUBJ+PLAIN.V
동생이 교수님을 만나셨다,PLAIN.SUBJ+HON.V
동생이 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 동생을 칭찬하셨다,HON.SUBJ+HON.V
교수님이 동생을 칭찬했다,HON.SUBJ+PLAIN.V
동생이 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
동생이 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 동생을 도우셨다,HON.SUBJ+HON.V
교수님이 동생을 도왔다,HON.SUBJ+PLAIN.V
동생이 교수님을 도우셨다,PLAIN.SUBJ+HON.V
동생이 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 남동생을 찾으셨다,HON.SUBJ+HON.V
교수님이 남동생을 찾았다,HON.SUBJ+PLAIN.V
남동생이 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
남동생이 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 남동생을 부르셨다,HON.SUBJ+HON.V
교수님이 남동생을 불렀다,HON.SUBJ+PLAIN.V
남동생이 교수님을 부르셨다,PLAIN.SUBJ+HON.V
남동생이 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 남동생을 기다리셨다,HON.SUBJ+HON.V
교수님이 남동생을 기다렸다,HON.SUBJ+PLAIN.V
남동생이 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
남동생이 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 남동생을 만나셨다,HON.SUBJ+HON.V
교수님이 남동생을 만났다,HON.SUBJ+PLAIN.V
남동생이 교수님을 만나셨다,PLAIN.SUBJ+HON.V
남동생이 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 남동생을 칭찬하셨다,HON.SUBJ+HON.V
교수님이 남동생을 칭찬했다,HON.SUBJ+PLAIN.V
남동생이 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
남동생이 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 남동생을 도우셨다,HON.SUBJ+HON.V
교수님이 남동생을 도왔다,HON.SUBJ+PLAIN.V
남동생이 교수님을 도우셨다,PLAIN.SUBJ+HON.V
남동생이 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
교수님이 여동생을 찾으셨다,HON.SUBJ+HON.V
교수님이 여동생을 찾았다,HON.SUBJ+PLAIN.V
여동생이 교수님을 찾으셨다,PLAIN.SUBJ+HON.V
여동생이 교수님을 찾았다,PLAIN.SUBJ+PLAIN.V
교수님이 여동생을 부르셨다,HON.SUBJ+HON.V
교수님이 여동생을 불렀다,HON.SUBJ+PLAIN.V
여동생이 교수님을 부르셨다,PLAIN.SUBJ+HON.V
여동생이 교수님을 불렀다,PLAIN.SUBJ+PLAIN.V
교수님이 여동생을 기다리셨다,HON.SUBJ+HON.V
교수님이 여동생을 기다렸다,HON.SUBJ+PLAIN.V
여동생이 교수님을 기다리셨다,PLAIN.SUBJ+HON.V
여동생이 교수님을 기다렸다,PLAIN.SUBJ+PLAIN.V
교수님이 여동생을 만나셨다,HON.SUBJ+HON.V
교수님이 여동생을 만났다,HON.SUBJ+PLAIN.V
여동생이 교수님을 만나셨다,PLAIN.SUBJ+HON.V
여동생이 교수님을 만났다,PLAIN.SUBJ+PLAIN.V
교수님이 여동생을 칭찬하셨다,HON.SUBJ+HON.V
교수님이 여동생을 칭찬했다,HON.SUBJ+PLAIN.V
여동생이 교수님을 칭찬하셨다,PLAIN.SUBJ+HON.V
여동생이 교수님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
교수님이 여동생을 도우셨다,HON.SUBJ+HON.V
교수님이 여동생을 도왔다,HON.SUBJ+PLAIN.V
여동생이 교수님을 도우셨다,PLAIN.SUBJ+HON.V
여동생이 교수님을 도왔다,PLAIN.SUBJ+PLAIN.V
선배님이 학생을 찾으셨다,HON.SUBJ+HON.V
선배님이 학생을 찾았다,HON.SUBJ+PLAIN.V
학생이 선배님을 찾으셨다,PLAIN.SUBJ+HON.V
학생이 선배님을 찾았다,PLAIN.SUBJ+PLAIN.V
선배님이 학생을 부르셨다,HON.SUBJ+HON.V
선배님이 학생을 불렀다,HON.SUBJ+PLAIN.V
학생이 선배님을 부르셨다,PLAIN.SUBJ+HON.V
학생이 선배님을 불렀다,PLAIN.SUBJ+PLAIN.V
선배님이 학생을 기다리셨다,HON.SUBJ+HON.V
선배님이 학생을 기다렸다,HON.SUBJ+PLAIN.V
학생이 선배님을 기다리셨다,PLAIN.SUBJ+HON.V
학생이 선배님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선배님이 학생을 만나셨다,HON.SUBJ+HON.V
선배님이 학생을 만났다,HON.SUBJ+PLAIN.V
학생이 선배님을 만나셨다,PLAIN.SUBJ+HON.V
학생이 선배님을 만났다,PLAIN.SUBJ+PLAIN.V
선배님이 학생을 칭찬하셨다,HON.SUBJ+HON.V
선배님이 학생을 칭찬했다,HON.SUBJ+PLAIN.V
학생이 선배님을 칭찬하셨다,PLAIN.SUBJ+HON.V
학생이 선배님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선배님이 학생을 도우셨다,HON.SUBJ+HON.V
선배님이 학생을 도왔다,HON.SUBJ+PLAIN.V
학생이 선배님을 도우셨다,PLAIN.SUBJ+HON.V
학생이 선배님을 도왔다,PLAIN.SUBJ+PLAIN.V
선배님이 제자를 찾으셨다,HON.SUBJ+HON.V
선배님이 제자를 찾았다,HON.SUBJ+PLAIN.V
제자가 선배님을 찾으셨다,PLAIN.SUBJ+HON.V
제자가 선배님을 찾았다,PLAIN.SUBJ+PLAIN.V
선배님이 제자를 부르셨다,HON.SUBJ+HON.V
선배님이 제자를 불렀다,HON.SUBJ+PLAIN.V
제자가 선배님을 부르셨다,PLAIN.SUBJ+HON.V
제자가 선배님을 불렀다,PLAIN.SUBJ+PLAIN.V
선배님이 제자를 기다리셨다,HON.SUBJ+HON.V
선배님이 제자를 기다렸다,HON.SUBJ+PLAIN.V
제자가 선배님을 기다리셨다,PLAIN.SUBJ+HON.V
제자가 선배님을 기다렸다,PLAIN.SUBJ+PLAIN.V
선배님이 제자를 만나셨다,HON.SUBJ+HON.V
선배님이 제자를 만났다,HON.SUBJ+PLAIN.V
제자가 선배님을 만나셨다,PLAIN.SUBJ+HON.V
제자가 선배님을 만났다,PLAIN.SUBJ+PLAIN.V
선배님이 제자를 칭찬하셨다,HON.SUBJ+HON.V
선배님이 제자를 칭찬했다,HON.SUBJ+PLAIN.V
제자가 선배님을 칭찬하셨다,PLAIN.SUBJ+HON.V
제자가 선배님을 칭찬했다,PLAIN.SUBJ+PLAIN.V
선배님이 제자를 도우셨다,HON.SUBJ+HON.V
선배님이 제자를 도왔다,HON.SUBJ+PLAIN.V
제자가 선배님을 도우셨다,PLAIN.SUBJ+HON.V
제자가 선배님을 도왔다,PLAIN.SUBJ+PLAIN.V
선배님이 후배를 찾으셨다,HON.SUBJ+HON.V
