sentence,condition
학생을 소설이 읽었다,ACC-NOM
학생이 소설이 읽었다,NOM-NOM
학생을 소설을 읽었다,ACC-ACC
학생이 잡지를 읽었다,NOM-ACC
학생을 잡지가 읽었다,ACC-NOM
학생이 잡지가 읽었다,NOM-NOM
학생을 잡지를 읽었다,ACC-ACC
아이가 책을 읽었다,NOM-ACC
아이를 책이 읽었다,ACC-NOM
아이가 책이 읽었다,NOM-NOM
아이를 책을 읽었다,ACC-ACC
아이가 신문을 읽었다,NOM-ACC
아이를 신문이 읽었다,ACC-NOM
아이가 신문이 읽었다,NOM-NOM
아이를 신문을 읽었다,ACC-ACC
아이가 소설을 읽었다,NOM-ACC
아이를 소설이 읽었다,ACC-NOM
아이가 소설이 읽었다,NOM-NOM
아이를 소설을 읽었다,ACC-ACC
아이가 잡지를 읽었다,NOM-ACC
아이를 잡지가 읽었다,ACC-NOM
아이가 잡지가 읽었다,NOM-NOM
아이를 잡지를 읽었다,ACC-ACC
선생님이 선물을 샀다,NOM-ACC
선생님을 선물이 샀다,ACC-NOM
선생님이 선물이 샀다,NOM-NOM
선생님을 선물을 샀다,ACC-ACC
선생님이 기념품을 샀다,NOM-ACC
선생님을 기념품이 샀다,ACC-NOM
선생님이 기념품이 샀다,NOM-NOM
선생님을 기념품을 샀다,ACC-ACC
선생님이 커피를 샀다,NOM-ACC
선생님을 커피가 샀다,ACC-NOM
선생님이 커피가 샀다,NOM-NOM
선생님을 커피를 샀다,ACC-ACC
선생님이 꽃을 샀다,NOM-ACC
선생님을 꽃이 샀다,ACC-NOM
선생님이 꽃이 샀다,NOM-NOM
선생님을 꽃을 샀다,ACC-ACC
아버지가 선물을 샀다,NOM-ACC
아버지를 선물이 샀다,ACC-NOM
아버지가 선물이 샀다,NOM-NOM
아버지를 선물을 샀다,ACC-ACC
아버지가 기념품을 샀다,NOM-ACC
아버지를 기념품이 샀다,ACC-NOM
아버지가 기념품이 샀다,NOM-NOM
아버지를 기념품을 샀다,ACC-ACC
아버지가 커피를 샀다,NOM-ACC
아버지를 커피가 샀다,ACC-NOM
아버지가 커피가 샀다,NOM-NOM
아버지를 커피를 샀다,ACC-ACC
아버지가 꽃을 샀다,NOM-ACC
아버지를 꽃이 샀다,ACC-NOM
아버지가 꽃이 샀다,NOM-NOM
아버지를 꽃을 샀다,ACC-ACC
학생이 선물을 샀다,NOM-ACC
학생을 선물이 샀다,ACC-NOM
학생이 선물이 샀다,NOM-NOM
학생을 선물을 샀다,ACC-ACC
학생이 기념품을 샀다,NOM-ACC
학생을 기념품이 샀다,ACC-NOM
학생이 기념품이 샀다,NOM-NOM
학생을 기념품을 샀다,ACC-ACC
학생이 커피를 샀다,NOM-ACC
학생을 커피가 샀다,ACC-NOM
학생이 커피가 샀다,NOM-NOM
학생을 커피를 샀다,ACC-ACC
학생이 꽃을 샀다,NOM-ACC
학생을 꽃이 샀다,ACC-NOM
학생이 꽃이 샀다,NOM-NOM
학생을 꽃을 샀다,ACC-ACC
아이가 선물을 샀다,NOM-ACC
아이를 선물이 샀다,ACC-NOM
아이가 선물이 샀다,NOM-NOM
아이를 선물을 샀다,ACC-ACC
아이가 기념품을 샀다,NOM-ACC
아이를 기념품이 샀다,ACC-NOM
아이가 기념품이 샀다,NOM-NOM
아이를 기념품을 샀다,ACC-ACC
아이가 커피를 샀다,NOM-ACC
아이를 커피가 샀다,ACC-NOM
아이가 커피가 샀다,NOM-NOM
아이를 커피를 샀다,ACC-ACC
아이가 꽃을 샀다,NOM-ACC
아이를 꽃이 샀다,ACC-NOM
아이가 꽃이 샀다,NOM-NOM
아이를 꽃을 샀다,ACC-ACC
선생님이 안경을 찾았다,NOM-ACC
선생님을 안경이 찾았다,ACC-NOM
선생님이 안경이 찾았다,NOM-NOM
선생님을 안경을 찾았다,ACC-ACC
선생님이 열쇠를 찾았다,NOM-ACC
선생님을 열쇠가 찾았다,ACC-NOM
선생님이 열쇠가 찾았다,NOM-NOM
선생님을 열쇠를 찾았다,ACC-ACC
선생님이 가방을 찾았다,NOM-ACC
선생님을 가방이 찾았다,ACC-NOM
선생님이 가방이 찾았다,NOM-NOM
선생님을 가방을 찾았다,ACC-ACC
선생님이 지갑을 찾았다,NOM-ACC
선생님을 지갑이 찾았다,ACC-NOM
선생님이 지갑이 찾았다,NOM-NOM
선생님을 지갑을 찾았다,ACC-ACC
아버지가 안경을 찾았다,NOM-ACC
아버지를 안경이 찾았다,ACC-NOM
아버지가 안경이 찾았다,NOM-NOM
아버지를 안경을 찾았다,ACC-ACC
아버지가 열쇠를 찾았다,NOM-ACC
아버지를 열쇠가 찾았다,ACC-NOM
아버지가 열쇠가 찾았다,NOM-NOM
아버지를 열쇠를 찾았다,ACC-ACC
아버지가 가방을 찾았다,NOM-ACC
아버지를 가방이 찾았다,ACC-NOM
아버지가 가방이 찾았다,NOM-NOM
아버지를 가방을 찾았다,ACC-ACC
아버지가 지갑을 찾았다,NOM-ACC
아버지를 지갑이 찾았다,ACC-NOM
아버지가 지갑이 찾았다,NOM-NOM
아버지를 지갑을 찾았다,ACC-ACC
학생이 안경을 찾았다,NOM-ACC
학생을 안경이 찾았다,ACC-NOM
학생이 안경이 찾았다,NOM-NOM
학생을 안경을 찾았다,ACC-ACC
학생이 열쇠를 찾았다,NOM-ACC
학생을 열쇠가 찾았다,ACC-NOM
학생이 열쇠가 찾았다,NOM-NOM
학생을 열쇠를 찾았다,ACC-ACC
학생이 가방을 찾았다,NOM-ACC
학생을 가방이 찾았다,ACC-NOM
학생이 가방이 찾았다,NOM-NOM
학생을 가방을 찾았다,ACC-ACC
학생이 지갑을 찾았다,NOM-ACC
학생을 지갑이 찾았다,ACC-NOM
학생이 지갑이 찾았다,NOM-NOM
학생을 지갑을 찾았다,ACC-ACC
아이가 안경을 찾았다,NOM-ACC
아이를 안경이 찾았다,ACC-NOM
아이가 안경이 찾았다,NOM-NOM
아이를 안경을 찾았다,ACC-ACC
아이가 열쇠를 찾았다,NOM-ACC
아이를 열쇠가 찾았다,ACC-NOM
아이가 열쇠가 찾았다,NOM-NOM
아이를 열쇠를 찾았다,ACC-ACC
아이가 가방을 찾았다,NOM-ACC
아이를 가방이 찾았다,ACC-NOM
아이가 가방이 찾았다,NOM-NOM
아이를 가방을 찾았다,ACC-ACC
아이가 지갑을 찾았다,NOM-ACC
아이를 지갑이 찾았다,ACC-NOM
아이가 지갑이 찾았다,NOM-NOM
아이를 지갑을 찾았다,ACC-ACC
